annual_inc,open_acc,purpose,home_ownership,inq_last_6mths
60000,6,credit_card,OWN,0
18576,7,debt_consolidation,RENT,0
40000,15,small_business,RENT,2
35000,3,home_improvement,OWN,1
125000,12,debt_consolidation,RENT,0
144000,8,credit_card,MORTGAGE,2
205000,9,debt_consolidation,MORTGAGE,0
118000,18,credit_card,MORTGAGE,0
78750,12,credit_card,RENT,1
45000,3,credit_card,MORTGAGE,0
85000,11,debt_consolidation,MORTGAGE,0
70000,10,credit_card,MORTGAGE,0
85000,15,debt_consolidation,RENT,0
30000,5,debt_consolidation,OWN,0
184000,13,debt_consolidation,MORTGAGE,0
61671,10,debt_consolidation,RENT,0
42000,5,credit_card,RENT,1
60000,13,home_improvement,MORTGAGE,3
1e+05,17,debt_consolidation,MORTGAGE,0
98000,17,debt_consolidation,MORTGAGE,0
1e+05,11,debt_consolidation,RENT,0
62004,18,home_improvement,MORTGAGE,1
65000,8,debt_consolidation,OWN,2
68890,10,debt_consolidation,RENT,0
140000,19,debt_consolidation,OWN,0
47000,15,credit_card,MORTGAGE,0
85748,8,credit_card,RENT,0
75000,11,credit_card,RENT,0
60000,7,debt_consolidation,MORTGAGE,1
275000,16,debt_consolidation,MORTGAGE,1
80000,19,credit_card,OWN,3
120000,19,debt_consolidation,RENT,5
30000,7,debt_consolidation,OWN,0
97000,6,home_improvement,MORTGAGE,1
80000,19,other,MORTGAGE,0
36000,15,debt_consolidation,MORTGAGE,1
75000,5,debt_consolidation,RENT,0
63000,16,debt_consolidation,OWN,0
29000,8,home_improvement,OWN,1
52000,8,small_business,MORTGAGE,1
127000,8,debt_consolidation,MORTGAGE,0
83775,13,credit_card,MORTGAGE,0
18000,7,debt_consolidation,RENT,1
68000,17,debt_consolidation,MORTGAGE,2
40000,11,debt_consolidation,OWN,2
125000,19,debt_consolidation,MORTGAGE,0
98300,15,home_improvement,OWN,2
75000,12,home_improvement,MORTGAGE,1
65000,11,debt_consolidation,MORTGAGE,1
50000,11,credit_card,MORTGAGE,2
120000,15,debt_consolidation,MORTGAGE,1
54000,9,debt_consolidation,MORTGAGE,1
75000,11,debt_consolidation,MORTGAGE,0
32000,8,debt_consolidation,RENT,1
135000,11,other,RENT,0
60000,13,debt_consolidation,RENT,1
53000,11,debt_consolidation,MORTGAGE,1
105000,3,debt_consolidation,RENT,0
75000,13,debt_consolidation,MORTGAGE,0
32000,16,debt_consolidation,RENT,0
62000,6,debt_consolidation,RENT,0
77000,12,debt_consolidation,MORTGAGE,2
